Epoch,Training Loss,Validation Loss,Training_Accuracy,Validation_Accuracy
1,0.8910037608782451,0.8423335681915283,50.0,50.0
2,0.7488183280944825,0.6943210699081421,51.79833173751831,50.0
3,0.6874032378196716,0.6786960891723632,56.50666952133179,51.945000886917114
4,0.684477160803477,0.6786979418754577,56.38999938964844,57.03999996185303
5,0.6836028170267741,0.6782992690086365,56.51666522026062,57.03999996185303
6,0.6832165654818217,0.6784075698852539,56.47500157356262,56.73999786376953
7,0.6829850723584493,0.6792563753128051,56.454998254776,56.73999786376953
8,0.6825671418825785,0.6777183392524719,56.34499788284302,56.73999786376953
9,0.6828404264767964,0.6779757084846496,56.37333393096924,56.80999755859375
10,0.6818692872683207,0.6781315366744995,56.49833679199219,56.80999755859375
11,0.6822679735501608,0.6779361671447753,56.48333430290222,56.80999755859375
12,0.6816470198631287,0.6778113852500915,56.44000172615051,56.80999755859375
13,0.6822142250061035,0.6781767448425293,56.378334760665894,56.80999755859375
14,0.6818816991170248,0.6776299869537353,56.39833211898804,56.80999755859375
15,0.681447672398885,0.6768201902389527,56.48833513259888,56.91999793052673
16,0.6819933180173238,0.6778075899124145,56.47500157356262,57.054996490478516
17,0.6813572135925293,0.6770027037620544,56.523334980010986,57.054996490478516
18,0.6814337927818298,0.6779047122955322,56.486666202545166,57.054996490478516
19,0.6821009091377258,0.6778302762031555,56.47500157356262,57.054996490478516
20,0.6811829590797425,0.6774812055587769,56.486666202545166,57.054996490478516
21,0.6811311175028483,0.677295795249939,56.529998779296875,57.054996490478516
22,0.6814820072174073,0.677449248123169,56.585001945495605,57.054996490478516
23,0.6812558765729269,0.6775965081214905,56.505000591278076,57.054996490478516
24,0.6809606373786926,0.6777495839118958,56.48166537284851,57.054996490478516
25,0.6811990635871887,0.6774546311378479,56.529998779296875,57.054996490478516
26,0.6810776432355244,0.6771620391845703,56.468331813812256,57.054996490478516
27,0.6811770116488138,0.6772024920463562,56.52499794960022,57.054996490478516
28,0.6812302365620931,0.6770870423316956,56.54667019844055,57.054996490478516
29,0.6808654118537902,0.6772909160614013,56.52000308036804,57.054996490478516
30,0.6809336658159891,0.6772350737571716,56.568336486816406,57.054996490478516
31,0.6807984284083048,0.6772328068733215,56.53666853904724,57.054996490478516
32,0.6807814703305562,0.6771980081558228,56.67999982833862,57.054996490478516
33,0.6808644612312317,0.6772560954093934,56.57833218574524,57.054996490478516
34,0.6805057052612304,0.6769023013114929,56.45833611488342,57.054996490478516
35,0.681145200030009,0.6773303961753845,56.550002098083496,57.054996490478516
36,0.6805726783752442,0.6771205484390259,56.548333168029785,57.054996490478516
37,0.680475855477651,0.6771019368171692,56.593334674835205,57.054996490478516
38,0.6808614593187968,0.6775884868621826,56.51666522026062,57.054996490478516
39,0.6804261967976888,0.676931028175354,56.59000277519226,57.054996490478516
40,0.680648768266042,0.6772207099914551,56.62500262260437,57.054996490478516
41,0.6803726377169291,0.6772013302803039,56.68833255767822,57.054996490478516
42,0.6805920298576354,0.6771293780326844,56.57166838645935,57.054996490478516
43,0.6807383785247803,0.6771210287094116,56.59666657447815,57.054996490478516
44,0.6805375161170959,0.6770885872840882,56.62333369255066,57.054996490478516
45,0.6807625011444092,0.677140742969513,56.644999980926514,57.054996490478516
46,0.6805089105288188,0.6771583058357239,56.6433310508728,57.054996490478516
47,0.6802166576385498,0.6770152789115905,56.513333320617676,57.054996490478516
48,0.6807715721130371,0.677194580745697,56.67999982833862,57.054996490478516
49,0.6802232611974081,0.6770607837677002,56.60666823387146,57.054996490478516
50,0.6802433340390523,0.6770699741363525,56.64833188056946,57.054996490478516
51,0.6802802074432373,0.6769080977439881,56.636667251586914,57.054996490478516
52,0.6805204422314962,0.6772402435302735,56.65000081062317,57.054996490478516
53,0.6800599146525065,0.6768783095359803,56.66999816894531,57.054996490478516
54,0.6802914662361145,0.6769548414230346,56.599998474121094,57.054996490478516
55,0.6804106738726298,0.676954364490509,56.603336334228516,57.054996490478516
56,0.6804130082130432,0.6771157639503479,56.65166974067688,57.054996490478516
57,0.6803484147071839,0.6770026407241821,56.65833353996277,57.054996490478516
58,0.6802254415194193,0.6769932523727417,56.70166611671448,57.054996490478516
59,0.6807213726997375,0.6770802681922913,56.636667251586914,57.054996490478516
60,0.6804668876647949,0.6769439502716065,56.644999980926514,57.054996490478516
61,0.6802348434130351,0.6769279266357422,56.63999915122986,57.054996490478516
62,0.6800068894386292,0.6769097053527832,56.663334369659424,57.054996490478516
63,0.6802665709177653,0.6770143509864807,56.690001487731934,57.054996490478516
64,0.6796067655881246,0.6769128450393677,56.65333271026611,57.054996490478516
65,0.6804769715944926,0.6768908540725708,56.655001640319824,57.054996490478516
66,0.6798631484031677,0.676903921699524,56.65000081062317,57.054996490478516
67,0.6805444496472677,0.6769249413490296,56.67999982833862,57.054996490478516
68,0.6802313474019368,0.6767717802047729,56.64833188056946,57.054996490478516
69,0.6801255699475607,0.6770014268875122,56.66833519935608,56.849998235702515
70,0.6803515658060709,0.6768718392372132,56.63333535194397,56.849998235702515
71,0.6804881375948588,0.6767348455429077,56.62500262260437,56.849998235702515
72,0.6800458827018738,0.6770691794395447,56.66666626930237,56.94499611854553
73,0.680350616200765,0.6768373665809632,56.66166543960571,56.94499611854553
74,0.680657355149587,0.676875671672821,56.66166543960571,56.94499611854553
75,0.6803080314318339,0.6770234908103943,56.69166445732117,56.94499611854553
76,0.6802881782531738,0.6770083846092224,56.663334369659424,56.94499611854553
77,0.679916566880544,0.6771911600112915,56.67833685874939,56.94499611854553
78,0.6803437701861064,0.6770186014175416,56.69166445732117,56.94499611854553
79,0.6802906371752421,0.6769803915023803,56.636667251586914,56.94499611854553
80,0.6798849832216899,0.6769462629318237,56.66000247001648,56.94499611854553
81,0.6799113559405009,0.6770758073806763,56.573331356048584,56.94499611854553
82,0.6798549153963724,0.6770999930381775,56.618332862854004,56.94499611854553
83,0.6804599336942037,0.6769062837600708,56.610000133514404,56.94499611854553
84,0.6802136806170146,0.6768996080398559,56.63166642189026,56.94499611854553
85,0.6802855972607931,0.6769182067871093,56.62166476249695,56.94499611854553
86,0.6804478355725606,0.6771151497840882,56.66166543960571,56.94499611854553
87,0.6803817432721456,0.6771136691093445,56.66666626930237,56.94499611854553
88,0.6801317400614421,0.676912137889862,56.65000081062317,56.94499611854553
89,0.6802783666292826,0.6770590394020081,56.67499899864197,56.94499611854553
90,0.6800533147176107,0.6769563335418701,56.69500231742859,56.94499611854553
91,0.6803219043413798,0.6769750461578369,56.69500231742859,56.94499611854553
92,0.6802279689470927,0.676983339214325,56.63333535194397,56.94499611854553
93,0.679713377126058,0.6769297152519226,56.68500065803528,56.94499611854553
94,0.6799396879514058,0.6769850072860718,56.69500231742859,56.94499611854553
95,0.6800213342984518,0.6771208291053772,56.644999980926514,56.94499611854553
96,0.6798767580668131,0.6770103884696961,56.67166709899902,56.94499611854553
97,0.6800482255299886,0.677004649066925,56.64833188056946,56.94499611854553
98,0.6804111696561178,0.6770454183578491,56.70666694641113,56.94499611854553
99,0.6800160181999206,0.6768962391853333,56.663334369659424,56.94499611854553
100,0.6801510621706645,0.6770666226387024,56.599998474121094,56.94499611854553
101,0.6802265341122945,0.6769740333557129,56.64166808128357,56.94499611854553
102,0.6804670104662577,0.6770605365753174,56.68333172798157,56.94499611854553
103,0.6802585024197896,0.6770853505134583,56.60499930381775,56.94499611854553
104,0.6803557741800944,0.6771771935462951,56.655001640319824,56.94499611854553
105,0.6800164383252462,0.6770888625144958,56.61666989326477,56.94499611854553
106,0.680132940196991,0.6770315404891968,56.69500231742859,56.94499611854553
107,0.6798260874112447,0.6770739457130432,56.66000247001648,56.94499611854553
108,0.6800333414077758,0.6769141592025757,56.67666792869568,56.94499611854553
109,0.6804011091868083,0.6770462934494018,56.69333338737488,56.94499611854553
110,0.680100507513682,0.6770381516456604,56.708335876464844,56.94499611854553
111,0.6796717104911805,0.6769367654800416,56.618332862854004,56.94499611854553
112,0.6799965651512146,0.6770939367294312,56.67833685874939,56.94499611854553
113,0.6800113296190897,0.6769993939399719,56.66833519935608,56.94499611854553
114,0.6804553364753723,0.6769954928398132,56.700003147125244,56.94499611854553
115,0.6800548811912537,0.6770212076187134,56.69500231742859,56.94499611854553
116,0.6804333709716797,0.6770437026023864,56.69500231742859,56.94499611854553
117,0.6799437027931213,0.676994905090332,56.66999816894531,56.94499611854553
118,0.67984470799764,0.6769478143692017,56.71166777610779,56.94499611854553
119,0.6798456544558207,0.6770253242492675,56.673336029052734,56.94499611854553
120,0.679964870929718,0.6771001322746277,56.67666792869568,56.94499611854553
121,0.6802950910886129,0.6770763291358948,56.6433310508728,56.94499611854553
122,0.6794384338061015,0.6771197897911072,56.70999884605408,56.94499611854553
123,0.6802601835568746,0.6770336249351502,56.690001487731934,56.94499611854553
124,0.6802793981870016,0.677137472820282,56.65833353996277,56.94499611854553
125,0.6800468345959981,0.6770431077957153,56.63999915122986,56.94499611854553
126,0.6799074740409851,0.6772777859687805,56.69666528701782,56.94499611854553
127,0.6800007622083029,0.6770393002510071,56.62500262260437,56.94499611854553
128,0.6803378586133321,0.6770094625473022,56.68500065803528,56.94499611854553
129,0.6801236127535503,0.6770983370780945,56.655001640319824,56.94499611854553
130,0.6805150274594625,0.6770846636772155,56.65666460990906,56.94499611854553
131,0.6801346747398377,0.6771845468521118,56.646668910980225,56.94499611854553
132,0.6802585267702739,0.6772682774543762,56.65333271026611,56.94499611854553
133,0.6800829407691955,0.6770608437538147,56.646668910980225,56.94499611854553
134,0.6806452425320944,0.6769934893608093,56.63166642189026,56.94499611854553
135,0.6802382669766744,0.6771631361007691,56.69833421707153,56.94499611854553
136,0.6801368755022684,0.6771604725837708,56.665003299713135,56.94499611854553
137,0.6800410300890605,0.6771092215538025,56.68333172798157,56.94499611854553
138,0.6802871882120768,0.6770897774696351,56.65833353996277,56.94499611854553
139,0.6802787222226461,0.6770405327796936,56.62333369255066,56.94499611854553
140,0.6801580110232035,0.6771630779266358,56.673336029052734,56.94499611854553
141,0.67993845205307,0.6771396109580994,56.61500096321106,56.94499611854553
142,0.6802630344390869,0.6770870195388794,56.72500133514404,56.94499611854553
143,0.6800957863171896,0.6771064367294312,56.646668910980225,56.94499611854553
144,0.6799338816642762,0.6770585980415345,56.65166974067688,56.94499611854553
145,0.6802690523783366,0.6770311188697815,56.65833353996277,56.94499611854553
146,0.6798979206403096,0.6769292356491089,56.646668910980225,56.94499611854553
147,0.6800770359992981,0.6769966718673706,56.66166543960571,56.94499611854553
148,0.6803912129402161,0.6769856522560119,56.681668758392334,56.94499611854553
149,0.6800434983253479,0.6770903702735901,56.67166709899902,56.94499611854553
150,0.6804893357594808,0.677077133846283,56.66000247001648,56.94499611854553
151,0.6804161655426025,0.6772870442390442,56.59000277519226,56.94499611854553
152,0.6801444641113281,0.6770895080566406,56.65000081062317,56.94499611854553
153,0.6799106088956197,0.6771041376113892,56.6266655921936,56.94499611854553
154,0.6799086703936259,0.6770627601623536,56.6433310508728,56.94499611854553
155,0.6800073359171549,0.6770382283210754,56.63166642189026,56.94499611854553
