Name,Accuracy
pk_100_100_25,57.88999795913696
pk_25_25_10,57.784998416900635
pk_10_10_100,57.63999819755554
pk_50_50_10,57.24499821662903
pk_50_50_100,58.34000110626221
pk_50_50_50,57.3199987411499
pk_10_10_10,57.19499588012695
pk_10_10_25,57.10499882698059
pk_100_100_10,57.249999046325684
pk_100_100_100,58.12000036239624
pk_100_100_50,58.024996519088745
pk_25_25_100,58.0049991607666
pk_10_10_50,57.10499882698059
pk_25_25_25,58.149999380111694
pk_25_25_50,58.379995822906494
pk_50_50_25,57.55000114440918
