Name,Accuracy
pik_10_10_25,55.75000047683716
pik_100_100_10,56.325000524520874
pik_25_25_25,56.040000915527344
pik_25_25_100,56.2999963760376
pik_10_10_50,56.65499567985535
pik_100_100_100,56.255000829696655
pik_25_25_10,55.720001459121704
pik_50_50_50,56.35499954223633
pik_50_50_100,56.224995851516724
pik_10_10_10,56.129997968673706
pik_25_25_50,55.96500039100647
pik_10_10_100,55.7699978351593
pik_100_100_50,56.22999668121338
pik_100_100_25,56.86500072479248
pik_50_50_25,56.00999593734741
pik_50_50_10,56.15999698638916
